Instancia,Distancia,Tiempo,Algoritmo
berlin52,7544.37,N/A,
berlin52,8224.67,0.00297,two_opt_random
berlin52,8060.65,0.00154,two_opt_nn
berlin52,8545.14,0.00561,two_opt_greedy
berlin52,7544.37,0.13595,double_bridge_random
berlin52,7749.55,0.13488,double_bridge_nn
berlin52,7619.15,0.19505,double_bridge_greedy
berlin52,26890.95,0.00618,tabu_search_random
berlin52,8723.52,0.00636,tabu_search_nn
berlin52,8890.27,0.00955,tabu_search_greedy
ch130,6110.86,N/A,
ch130,6650.6,0.01946,two_opt_random
ch130,6741.95,0.01665,two_opt_nn
ch130,6685.54,0.07432,two_opt_greedy
ch130,6308.25,1.70522,double_bridge_random
ch130,6168.2,2.31418,double_bridge_nn
ch130,6313.67,1.7381,double_bridge_greedy
ch130,45473.36,0.09722,tabu_search_random
ch130,7426.63,0.08936,tabu_search_nn
ch130,7098.49,0.14231,tabu_search_greedy
tsp225,3859.0,N/A,
tsp225,4385.22,0.05205,two_opt_random
tsp225,4176.95,0.05035,two_opt_nn
tsp225,4242.66,0.37346,two_opt_greedy
tsp225,4056.14,6.23355,double_bridge_random
tsp225,4024.79,5.43609,double_bridge_nn
tsp225,3985.71,4.8349,double_bridge_greedy
tsp225,39735.48,0.44932,tabu_search_random
tsp225,4727.75,0.46323,tabu_search_nn
tsp225,4445.63,0.78212,tabu_search_greedy
